Health State,SEM Code,Colony ID,Polyp ID,Inner Diameter,Septa Number,Septa width 1,Septa width 2,Septa width 3,Septa width 4,Septa width 5,Septa width 6,Average
GA,14.b,14,5,1028.095,6,24.042,20.263,15.764,17.257,18.775,13.567,18.278
GA,14.b,14,6,1054.815,6,18.786,22.927,29.446,15.981,24.991,19.564,21.94916667
GA,14.b,14,7,1004.109,4,11.07,12.045,13.284,15.965,,,13.091
GA,14.b,14,8,1123.511,4,10.287,11.755,13.365,15.233,,,12.66
GA,15.a,15,1,564.221,6,23.976,11.688,35.371,35.314,19.251,17.752,23.8752
GA,15.a,15,2,660.021,6,24.968,26.499,18.841,24.968,14.12,30.572,23
GA,15.a,15,3,501.937,6,22.768,33.078,25.143,28.257,35.352,24.655,29.297
GA,15.a,15,4,852.353,6,27.383,29.557,16.25,27.742,17.281,34.405,25.43633333
GA,15.a,15,5,600.265,6,11.241,14.536,14.002,19.846,27.351,10.643,16.26983333
GA,15.a,15,6,925.037,6,22.697,25.451,19.907,13.58,19.52,24.845,21
GA,15.a,15,7,1108.501,6,19.676,32.357,23.615,11.566,11.899,15.964,19.1795
GA,15.a,15,8,686.888,6,12.524,15.146,26.751,12.871,16.329,14.719,16.39
GA,15.a,15,9,623.272,6,11.234,8.547,7.695,13.869,14.774,13.165,11.54733333
GA,15.b,15,1,544.528,6,14.359,16.042,15.373,14.695,9.995,7.667,13.02183333
GA,15.b,15,2,725.45,6,26.653,12.377,22.096,19.489,24.445,20.154,20.869
GA,16.a,16,1,689.847,6,10.629,18.317,20.06,12.909,13.33,19.584,15.80483333
GA,16.a,16,2,817.069,6,10.174,13.44,7.682,10.87,9.881,16.885,11.48866667
GA,16.a,16,3,979.724,6,7.362,11.195,24.91,27.272,14.016,13.797,16.42533333
GA,16.a,16,4,938.459,6,8.623,6.745,11.014,8.598,11.092,12.705,9.796166667
GA,16.a,16,5,1065.157,6,9.439,19.091,9.732,12.654,5.524,12.586,11.50433333
GA,16.b,16,1,1044.779,3,12.182,13.227,13.906,,,,13.105
GA,16.b,16,2,1233.496,6,14.911,10.003,11.166,13.704,15.802,19.292,14.14633333
GA,16.b,16,3,920.928,6,12.621,13.572,9.901,9.666,10.965,8.673,10.89966667
GA,16.b,16,4,831.842,4,18.449,12.758,11.813,12.266,,,13.8215
GA,16.b,16,5,945.453,6,6.436,9.901,13.593,21.43,6.022,9.301,11.11383333
GA,16.b,16,5,680.732,6,18.529,9.381,15.395,21.942,10.664,10.886,14.46616667
GA,16.b,16,6,856.289,6,10.261,9.862,16.099,11.266,6.935,5.926,10.05816667
GA,16.b,16,7,998.446,6,10.408,9.034,9.746,13.608,6.601,7.928,9.554166667
GA,16.b,16,8,786.636,6,13.586,10.073,13.74,16.101,14.138,17.72,14.22633333
GA,16.b,16,9,779.855,6,15.421,16.795,18.089,9.175,12.654,13.565,14.28316667
GA,16.b,16,10,905.794,6,14.804,16.795,11.043,9.732,11.94,15.624,13.323
GA,16.b,16,11,918.624,6,12.697,15.239,12.135,12.171,16.97,11.752,13.494
GA,16.b,16,12,1212.432,6,14.064,15.376,15.131,9.443,11.64,10.021,12.6125
GA,16.b,16,13,949.309,6,12.981,16.745,12.205,17.241,13.264,10.54,13.82933333
GA,17.a,17,1,958.582,6,15.355,10.958,15.855,13.512,9.746,14.033,13.24316667
GA,17.a,17,2,846.184,6,9.469,15.184,12.653,11.756,18.16,15.706,13.82133333
GA,17.a,17,3,834.598,6,14.088,22.115,25.18,18.529,9.896,15.425,17.53883333
GA,17.a,17,4,828.116,6,18.343,11.683,11.963,18.216,15.818,9.571,14.26566667
GA,17.a,17,5,745.601,6,11.899,10.643,14.176,8.856,11.899,13.924,11.8995
GA,17.a,17,6,1000.831,6,12.205,21.409,13.238,18.006,17.416,14.687,16.16016667
GA,17.a,17,7,960.554,6,15.62,15.816,12.407,19.241,10.174,14.94,14.69966667
GA,17.a,17,8,605.525,4,10.165,8.162,13.277,14.924,,,11.632
GA,17.a,17,9,928.957,6,13.608,15.763,12.404,11.813,12.338,11.492,12.903
GA,17.a,17,10,911.357,6,16.155,16.401,10.273,19.09,15.131,10.731,14.63016667
GA,17.a,17,11,723.589,6,8.593,8.23,11.87,9.311,9.896,9.662,9.593666667
GA,17.a,17,12,954.79,6,14.764,13.242,14.532,11.683,12.673,7.481,12.39583333
GA,17.a,17,13,843.893,6,20.422,9.175,16.469,12.943,10.622,9.374,13.1675
GA,17.a,17,14,678.029,6,10.038,9.376,7.582,8.742,8.386,7.802,8.654333333
GA,17.a,17,15,483.967,3,12.37,8.477,5.345,,,,8.730666667
GA,17.a,17,16,816.208,6,10.87,20.371,18.032,12.884,25.994,12.499,16.775
GA,17.a,17,17,753.035,6,16.852,12.629,9.862,11.834,9.356,16.852,12.8975
GA,17.a,17,18,978.761,6,15.053,12.82,10.153,10.153,11.026,5.958,10.8605
GA,17.a,17,19,873.614,5,16.967,10.313,11.464,19.89,15.724,11.195,14.25883333
GA,17.a,17,20,875.174,6,5.989,8.755,8.062,11.088,10.636,7.836,8.727666667
GA,17.a,17,21,657.758,4,15.561,15.732,7.551,10.927,,,12.44275
GA,17.a,17,22,807.103,6,13.332,18.908,13.104,8.821,11.925,17.042,13.85533333
GA,17.a,17,23,1013.969,6,15.871,16.934,11.852,8.913,17.607,16.6,14.6295
GA,17.b,17,1,1031.905,6,20.411,11.922,13.283,15.081,12.692,18.681,15.345
GA,17.b,17,2,830.466,6,12.442,15.71,10.245,10.175,17.437,10.175,12.69733333
